date,segment,buyer_type,loan_count,loan_value_million
2002-09-01,Investor,Total,,11009.5
2002-09-01,Owner-occupier,First Home Buyer,24529.0,4121.6
2002-09-01,Owner-occupier,Non-First Home Buyer,64722.0,12468.5
2002-09-01,Owner-occupier,Total,89705.0,16698.5
2002-09-01,Total,Total,,27708.0
2002-12-01,Investor,Total,,10978.6
2002-12-01,Owner-occupier,First Home Buyer,23090.0,4045.5
2002-12-01,Owner-occupier,Non-First Home Buyer,65802.0,13125.4
2002-12-01,Owner-occupier,Total,88932.0,17202.2
2002-12-01,Total,Total,,28180.8
2003-03-01,Investor,Total,,12179.5
2003-03-01,Owner-occupier,First Home Buyer,22989.0,4172.1
2003-03-01,Owner-occupier,Non-First Home Buyer,70566.0,14410.9
2003-03-01,Owner-occupier,Total,93663.0,18570.9
2003-03-01,Total,Total,,30750.4
2003-06-01,Investor,Total,,13117.8
2003-06-01,Owner-occupier,First Home Buyer,22351.0,4236.2
2003-06-01,Owner-occupier,Non-First Home Buyer,73482.0,15685.6
2003-06-01,Owner-occupier,Total,95978.0,20009.5
2003-06-01,Total,Total,,33127.3
2003-09-01,Investor,Total,,16164.3
2003-09-01,Owner-occupier,First Home Buyer,22181.0,4479.7
2003-09-01,Owner-occupier,Non-First Home Buyer,76388.0,16899.5
2003-09-01,Owner-occupier,Total,98332.0,21379.9
2003-09-01,Total,Total,,37544.2
2003-12-01,Investor,Total,,16277.6
2003-12-01,Owner-occupier,First Home Buyer,21147.0,4363.8
2003-12-01,Owner-occupier,Non-First Home Buyer,73045.0,16515.9
2003-12-01,Owner-occupier,Total,94320.0,20909.8
2003-12-01,Total,Total,,37187.4
2004-03-01,Investor,Total,,14225.0
2004-03-01,Owner-occupier,First Home Buyer,18264.0,3845.5
2004-03-01,Owner-occupier,Non-First Home Buyer,64919.0,15169.4
2004-03-01,Owner-occupier,Total,83192.0,18993.8
2004-03-01,Total,Total,,33218.9
2004-06-01,Investor,Total,,12936.5
2004-06-01,Owner-occupier,First Home Buyer,19342.0,4301.6
2004-06-01,Owner-occupier,Non-First Home Buyer,61926.0,14984.0
2004-06-01,Owner-occupier,Total,81231.0,19314.5
2004-06-01,Total,Total,,32250.9
2004-09-01,Investor,Total,,12627.6
2004-09-01,Owner-occupier,First Home Buyer,21670.0,4883.1
2004-09-01,Owner-occupier,Non-First Home Buyer,61512.0,15000.8
2004-09-01,Owner-occupier,Total,83231.0,19931.0
2004-09-01,Total,Total,,32558.6
2004-12-01,Investor,Total,,12980.0
2004-12-01,Owner-occupier,First Home Buyer,22716.0,5237.1
2004-12-01,Owner-occupier,Non-First Home Buyer,63166.0,15606.2
2004-12-01,Owner-occupier,Total,85776.0,20813.7
2004-12-01,Total,Total,,33793.7
